observation_date,G160651A027NBEA
1959-01-01,0.248
1960-01-01,0.345
1961-01-01,0.418
1962-01-01,0.521
1963-01-01,0.705
1964-01-01,1.001
1965-01-01,0.841
1966-01-01,0.858
1967-01-01,1.051
1968-01-01,1.125
1969-01-01,1.336
1970-01-01,2.403
1971-01-01,3.207
1972-01-01,3.859
1973-01-01,4.203
1974-01-01,4.559
1975-01-01,5.327
1976-01-01,6.300
1977-01-01,6.825
1978-01-01,7.395
1979-01-01,9.079
1980-01-01,10.801
1981-01-01,12.055
1982-01-01,13.512
1983-01-01,14.223
1984-01-01,15.219
1985-01-01,16.520
1986-01-01,17.020
1987-01-01,16.963
1988-01-01,18.090
1989-01-01,19.162
1990-01-01,20.066
1991-01-01,21.563
1992-01-01,23.002
1993-01-01,26.069
1994-01-01,27.915
1995-01-01,31.283
1996-01-01,32.451
1997-01-01,32.594
1998-01-01,35.009
1999-01-01,35.316
2000-01-01,33.299
2001-01-01,35.165
2002-01-01,40.479
2003-01-01,42.878
2004-01-01,44.190
2005-01-01,47.995
2006-01-01,47.584
2007-01-01,53.723
2008-01-01,50.383
2009-01-01,53.152
2010-01-01,60.510
2011-01-01,62.458
2012-01-01,58.378
2013-01-01,57.090
2014-01-01,57.199
2015-01-01,58.025
2016-01-01,59.966
2017-01-01,59.962
2018-01-01,59.905
2019-01-01,60.541
2020-01-01,63.863
2021-01-01,71.798
2022-01-01,72.201
2023-01-01,79.490
